epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.2537,0.64639,0.53704,0.82171,0.93327,0.89137,0.995,0.82241,0.78824,1.56918,0.8757,0.000822003,0.000822003,0.000822003
43,67.0774,0.64273,0.55697,0.82653,0.93327,0.89137,0.995,0.82241,0.78824,1.56918,0.8757,0.000827782,0.000827782,0.000827782
44,68.6645,0.60888,0.56607,0.82389,0.93277,0.88536,0.995,0.82087,0.79572,1.58852,0.87608,0.000832902,0.000832902,0.000832902
45,70.2548,0.60327,0.56895,0.81865,0.93277,0.88536,0.995,0.82087,0.79572,1.58852,0.87608,0.000837361,0.000837361,0.000837361
46,72.0445,0.68876,0.60866,0.82725,0.93283,0.84939,0.995,0.84942,0.76129,1.62282,0.87141,0.00084116,0.00084116,0.00084116
47,73.5407,0.60734,0.57404,0.82745,0.93283,0.84939,0.995,0.84942,0.76129,1.62282,0.87141,0.000844299,0.000844299,0.000844299
48,75.6423,0.59712,0.55635,0.83539,0.93309,1,0.995,0.84523,0.7719,1.39685,0.8666,0.000846778,0.000846778,0.000846778
49,77.7371,0.61178,0.58355,0.83037,0.93309,1,0.995,0.84523,0.7719,1.39685,0.8666,0.000848596,0.000848596,0.000848596
50,79.4498,0.60039,0.57007,0.81571,0.93652,1,0.995,0.82037,0.80329,1.0432,0.86924,0.000849755,0.000849755,0.000849755
51,81.3933,0.60372,0.54291,0.85506,0.93652,1,0.995,0.82037,0.80329,1.0432,0.86924,0.000841835,0.000841835,0.000841835
52,83.7825,0.60525,0.54358,0.80496,0.95067,1,0.995,0.82626,0.79399,0.79642,0.86808,0.000825332,0.000825332,0.000825332
53,85.3757,0.59965,0.54375,0.82099,0.95067,1,0.995,0.82626,0.79399,0.79642,0.86808,0.000808828,0.000808828,0.000808828
54,87.3272,0.64734,0.61821,0.82855,0.95331,1,0.995,0.84626,0.75294,0.71019,0.86211,0.000792325,0.000792325,0.000792325
55,88.9529,0.51356,0.53174,0.81423,0.95331,1,0.995,0.84626,0.75294,0.71019,0.86211,0.000775822,0.000775822,0.000775822
56,91.3185,0.67959,0.59461,0.8323,0.94826,1,0.995,0.81845,0.7496,0.7522,0.85655,0.000759318,0.000759318,0.000759318
57,92.9702,0.5207,0.50612,0.81353,0.94826,1,0.995,0.81845,0.7496,0.7522,0.85655,0.000742815,0.000742815,0.000742815
58,95.3996,0.5823,0.54101,0.81738,0.93881,1,0.995,0.83057,0.73031,0.86382,0.8487,0.000726312,0.000726312,0.000726312
59,97.1013,0.55518,0.52415,0.82813,0.93881,1,0.995,0.83057,0.73031,0.86382,0.8487,0.000709809,0.000709809,0.000709809
60,99.2993,0.51023,0.5258,0.80306,0.93387,1,0.995,0.86437,0.72061,0.86095,0.84784,0.000693305,0.000693305,0.000693305
61,101.003,0.52225,0.53396,0.82025,0.93387,1,0.995,0.86437,0.72061,0.86095,0.84784,0.000676802,0.000676802,0.000676802
62,103.117,0.53907,0.54173,0.78697,0.94058,1,0.995,0.86403,0.71512,0.7275,0.85405,0.000660299,0.000660299,0.000660299
63,104.662,0.59017,0.50545,0.81327,0.94058,1,0.995,0.86403,0.71512,0.7275,0.85405,0.000643795,0.000643795,0.000643795
64,107.152,0.54303,0.50057,0.832,0.95247,1,0.995,0.85891,0.71386,0.61667,0.85167,0.000627292,0.000627292,0.000627292
65,108.879,0.6293,0.51553,0.85026,0.95247,1,0.995,0.85891,0.71386,0.61667,0.85167,0.000610789,0.000610789,0.000610789
66,110.662,0.54793,0.48074,0.81951,0.96545,1,0.995,0.86252,0.68947,0.53598,0.84337,0.000594286,0.000594286,0.000594286
67,112.169,0.52738,0.47928,0.8407,0.96545,1,0.995,0.86252,0.68947,0.53598,0.84337,0.000577782,0.000577782,0.000577782
