epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.1956,0.64619,0.53832,0.82163,0.93332,0.89334,0.995,0.82226,0.78649,1.5598,0.87484,0.000822003,0.000822003,0.000822003
43,78.6059,0.64237,0.5573,0.8263,0.93332,0.89334,0.995,0.82226,0.78649,1.5598,0.87484,0.000827782,0.000827782,0.000827782
44,80.0748,0.60936,0.56646,0.82369,0.93281,0.88687,0.995,0.82736,0.7919,1.58548,0.87435,0.000832902,0.000832902,0.000832902
45,81.6183,0.59939,0.56905,0.81838,0.93281,0.88687,0.995,0.82736,0.7919,1.58548,0.87435,0.000837361,0.000837361,0.000837361
46,83.34,0.68722,0.60779,0.82685,0.93285,0.84598,0.995,0.84739,0.7615,1.62459,0.87048,0.00084116,0.00084116,0.00084116
47,84.7377,0.60927,0.57687,0.82753,0.93285,0.84598,0.995,0.84739,0.7615,1.62459,0.87048,0.000844299,0.000844299,0.000844299
48,86.6282,0.59505,0.55742,0.8354,0.93351,1,0.995,0.82481,0.77562,1.39296,0.86585,0.000846778,0.000846778,0.000846778
49,88.1069,0.60871,0.58149,0.83027,0.93351,1,0.995,0.82481,0.77562,1.39296,0.86585,0.000848596,0.000848596,0.000848596
50,89.9183,0.59856,0.56887,0.81521,0.93677,1,0.995,0.81549,0.80865,1.035,0.86902,0.000849755,0.000849755,0.000849755
51,91.4652,0.59831,0.53956,0.85415,0.93677,1,0.995,0.81549,0.80865,1.035,0.86902,0.000841835,0.000841835,0.000841835
52,93.4804,0.59864,0.54148,0.80394,0.95199,1,0.995,0.82325,0.79046,0.78153,0.86749,0.000825332,0.000825332,0.000825332
53,94.8571,0.59722,0.54084,0.821,0.95199,1,0.995,0.82325,0.79046,0.78153,0.86749,0.000808828,0.000808828,0.000808828
54,96.7054,0.64926,0.62067,0.8286,0.95507,1,0.995,0.85101,0.75188,0.69612,0.86153,0.000792325,0.000792325,0.000792325
55,98.0127,0.51422,0.53335,0.81424,0.95507,1,0.995,0.85101,0.75188,0.69612,0.86153,0.000775822,0.000775822,0.000775822
56,100.155,0.67406,0.59038,0.83132,0.95055,1,0.995,0.80456,0.75342,0.73542,0.85642,0.000759318,0.000759318,0.000759318
57,101.813,0.5207,0.50404,0.81311,0.95055,1,0.995,0.80456,0.75342,0.73542,0.85642,0.000742815,0.000742815,0.000742815
